Tile Name,Predicted Class,Slide Name,Tumor Cells (%),Tumor Cells Count,Mitosis (%),Mitosis Count,Karyorrhexis (%),Karyorrhexis Count,Stroma (%),Stroma Count,Final Classification
./tiles_output\NBL-11\tile_20693_26511.jpg,Tumor Cells,NBL-11.svs,34.62,227,17.21,113,27.09,178,21.08,138,Tumor Positive
./tiles_output\NBL-11\tile_20693_27023.jpg,Tumor Cells,NBL-11.svs,35.04,230,18.26,120,25.29,166,21.41,140,Tumor Positive
./tiles_output\NBL-11\tile_20693_27279.jpg,Tumor Cells,NBL-11.svs,38.69,254,17.39,114,24.54,161,19.38,127,Tumor Positive
./tiles_output\NBL-11\tile_20693_27535.jpg,Tumor Cells,NBL-11.svs,36.57,240,19.27,126,28.01,184,16.15,106,Tumor Positive
./tiles_output\NBL-11\tile_20693_27791.jpg,Tumor Cells,NBL-11.svs,31.24,205,18.97,124,28.02,184,21.76,143,Tumor Positive
./tiles_output\NBL-11\tile_20693_28047.jpg,Tumor Cells,NBL-11.svs,33.17,217,18.98,124,23.5,154,24.35,160,Tumor Positive
./tiles_output\NBL-11\tile_20693_36495.jpg,Tumor Cells,NBL-11.svs,36.62,240,23.34,153,23.01,151,17.03,112,Tumor Positive
./tiles_output\NBL-11\tile_20693_37007.jpg,Tumor Cells,NBL-11.svs,32.68,214,23.54,154,24.68,162,19.1,125,Tumor Positive
./tiles_output\NBL-11\tile_20693_37263.jpg,Tumor Cells,NBL-11.svs,34.66,227,23.38,153,21.46,141,20.5,134,Tumor Positive
./tiles_output\NBL-11\tile_20693_38031.jpg,Tumor Cells,NBL-11.svs,44.58,292,17.24,113,21.19,139,16.99,111,Tumor Positive
./tiles_output\NBL-11\tile_20693_38287.jpg,Tumor Cells,NBL-11.svs,41.66,273,12.25,80,30.49,200,15.6,102,Tumor Positive
./tiles_output\NBL-11\tile_20693_38543.jpg,Tumor Cells,NBL-11.svs,44.57,292,14.89,98,26.05,171,14.48,95,Tumor Positive
./tiles_output\NBL-11\tile_20693_38799.jpg,Tumor Cells,NBL-11.svs,44.74,293,20.69,136,21.96,144,12.61,83,Tumor Positive
./tiles_output\NBL-11\tile_20693_39055.jpg,Tumor Cells,NBL-11.svs,41.8,274,22.9,150,18.79,123,16.5,108,Tumor Positive
./tiles_output\NBL-11\tile_20949_25743.jpg,Tumor Cells,NBL-11.svs,28.76,188,21.46,141,21.73,142,28.06,184,Tumor Positive
./tiles_output\NBL-11\tile_20949_25999.jpg,Tumor Cells,NBL-11.svs,34.1,223,18.22,119,24.53,161,23.15,152,Tumor Positive
./tiles_output\NBL-11\tile_20949_26255.jpg,Tumor Cells,NBL-11.svs,34.05,223,16.94,111,26.47,173,22.54,148,Tumor Positive
./tiles_output\NBL-11\tile_20949_26511.jpg,Tumor Cells,NBL-11.svs,39.08,256,15.05,99,24.76,162,21.11,138,Tumor Positive
./tiles_output\NBL-11\tile_20949_26767.jpg,Tumor Cells,NBL-11.svs,39.07,256,14.6,96,27.38,179,18.96,124,Tumor Positive
./tiles_output\NBL-11\tile_20949_27023.jpg,Tumor Cells,NBL-11.svs,35.04,230,18.55,122,26.47,173,19.94,131,Tumor Positive
./tiles_output\NBL-11\tile_20949_27279.jpg,Tumor Cells,NBL-11.svs,37.33,245,19.46,128,21.71,142,21.5,141,Tumor Positive
./tiles_output\NBL-11\tile_20949_27535.jpg,Tumor Cells,NBL-11.svs,33.18,217,17.53,115,26.02,171,23.27,153,Tumor Positive
./tiles_output\NBL-11\tile_20949_27791.jpg,Tumor Cells,NBL-11.svs,36.44,239,18.04,118,22.39,147,23.12,152,Tumor Positive
./tiles_output\NBL-11\tile_20949_28047.jpg,Tumor Cells,NBL-11.svs,31.58,207,20.08,132,23.23,152,25.1,164,Tumor Positive
./tiles_output\NBL-11\tile_20949_36495.jpg,Tumor Cells,NBL-11.svs,29.1,191,22.46,147,28.19,185,20.26,133,Tumor Positive
./tiles_output\NBL-11\tile_20949_37775.jpg,Tumor Cells,NBL-11.svs,38.94,255,20.75,136,26.11,171,14.2,93,Tumor Positive
./tiles_output\NBL-11\tile_20949_38031.jpg,Tumor Cells,NBL-11.svs,41.93,275,16.85,110,26.34,173,14.88,98,Tumor Positive
./tiles_output\NBL-11\tile_20949_38287.jpg,Tumor Cells,NBL-11.svs,42.55,279,16.76,110,28.35,186,12.34,81,Tumor Positive
./tiles_output\NBL-11\tile_20949_38543.jpg,Tumor Cells,NBL-11.svs,39.57,259,21.1,138,26.68,175,12.65,83,Tumor Positive
./tiles_output\NBL-11\tile_20949_38799.jpg,Tumor Cells,NBL-11.svs,43.61,286,17.49,115,24.27,159,14.62,96,Tumor Positive
./tiles_output\NBL-11\tile_20949_39055.jpg,Tumor Cells,NBL-11.svs,44.66,293,15.53,102,22.82,150,16.99,111,Tumor Positive
./tiles_output\NBL-11\tile_20949_39567.jpg,Tumor Cells,NBL-11.svs,47.5,311,14.23,93,20.64,135,17.63,116,Tumor Positive
./tiles_output\NBL-11\tile_20949_39823.jpg,Tumor Cells,NBL-11.svs,42.45,278,14.99,98,25.63,168,16.93,111,Tumor Positive
./tiles_output\NBL-11\tile_21205_25487.jpg,Tumor Cells,NBL-11.svs,27.29,179,25.08,164,23.2,152,24.43,160,Tumor Positive
./tiles_output\NBL-11\tile_21205_25743.jpg,Tumor Cells,NBL-11.svs,35.75,234,18.35,120,24.49,160,21.42,140,Tumor Positive
./tiles_output\NBL-11\tile_21205_25999.jpg,Tumor Cells,NBL-11.svs,37.03,243,17.57,115,23.09,151,22.31,146,Tumor Positive
./tiles_output\NBL-11\tile_21205_26255.jpg,Tumor Cells,NBL-11.svs,34.38,225,19.9,130,26.55,174,19.17,126,Tumor Positive
./tiles_output\NBL-11\tile_21205_26511.jpg,Tumor Cells,NBL-11.svs,39.24,257,14.14,93,25.33,166,21.29,140,Tumor Positive
./tiles_output\NBL-11\tile_21205_26767.jpg,Tumor Cells,NBL-11.svs,37.15,243,19.4,127,25.89,170,17.56,115,Tumor Positive
./tiles_output\NBL-11\tile_21205_27023.jpg,Tumor Cells,NBL-11.svs,35.46,232,10.95,72,33.13,217,20.47,134,Tumor Positive
./tiles_output\NBL-11\tile_21205_27279.jpg,Tumor Cells,NBL-11.svs,36.87,242,17.42,114,22.52,148,23.19,152,Tumor Positive
./tiles_output\NBL-11\tile_21205_27535.jpg,Tumor Cells,NBL-11.svs,36.48,239,23.21,152,22.42,147,17.89,117,Tumor Positive
./tiles_output\NBL-11\tile_21205_36495.jpg,Tumor Cells,NBL-11.svs,38.13,250,20.0,131,24.97,164,16.9,111,Tumor Positive
./tiles_output\NBL-11\tile_21205_36751.jpg,Stroma,NBL-11.svs,24.15,158,24.9,163,21.26,139,29.69,195,Tumor Positive
./tiles_output\NBL-11\tile_21205_37007.jpg,Tumor Cells,NBL-11.svs,34.23,224,20.26,133,25.85,169,19.66,129,Tumor Positive
./tiles_output\NBL-11\tile_21205_37519.jpg,Tumor Cells,NBL-11.svs,39.63,260,16.74,110,27.61,181,16.02,105,Tumor Positive
./tiles_output\NBL-11\tile_21205_37775.jpg,Tumor Cells,NBL-11.svs,38.78,254,16.63,109,31.62,207,12.97,85,Tumor Positive
./tiles_output\NBL-11\tile_21205_38799.jpg,Tumor Cells,NBL-11.svs,41.78,274,20.81,136,21.69,142,15.71,103,Tumor Positive
./tiles_output\NBL-11\tile_21205_39055.jpg,Tumor Cells,NBL-11.svs,45.21,296,18.62,122,17.86,117,18.31,120,Tumor Positive
./tiles_output\NBL-11\tile_21205_39567.jpg,Tumor Cells,NBL-11.svs,55.14,361,15.31,100,18.62,122,10.93,72,Tumor Positive
./tiles_output\NBL-11\tile_21205_39823.jpg,Tumor Cells,NBL-11.svs,52.22,342,15.89,104,17.58,115,14.3,94,Tumor Positive
./tiles_output\NBL-11\tile_21205_40079.jpg,Tumor Cells,NBL-11.svs,48.11,315,14.84,97,17.81,117,19.24,126,Tumor Positive
./tiles_output\NBL-11\tile_21461_25487.jpg,Tumor Cells,NBL-11.svs,35.66,234,20.19,132,24.24,159,19.91,130,Tumor Positive
./tiles_output\NBL-11\tile_21461_25743.jpg,Karyorrhexis,NBL-11.svs,29.34,192,18.77,123,30.42,199,21.47,141,Tumor Positive
./tiles_output\NBL-11\tile_21461_25999.jpg,Tumor Cells,NBL-11.svs,36.65,240,17.18,113,22.83,150,23.34,153,Tumor Positive
./tiles_output\NBL-11\tile_21461_26255.jpg,Tumor Cells,NBL-11.svs,35.9,235,16.15,106,28.48,187,19.48,128,Tumor Positive
./tiles_output\NBL-11\tile_21461_26511.jpg,Tumor Cells,NBL-11.svs,41.4,271,17.08,112,20.95,137,20.57,135,Tumor Positive
./tiles_output\NBL-11\tile_21461_26767.jpg,Tumor Cells,NBL-11.svs,35.41,232,19.34,127,22.83,150,22.42,147,Tumor Positive
./tiles_output\NBL-11\tile_21461_27023.jpg,Tumor Cells,NBL-11.svs,32.57,213,16.2,106,26.47,173,24.75,162,Tumor Positive
./tiles_output\NBL-11\tile_21461_27279.jpg,Tumor Cells,NBL-11.svs,40.51,265,17.67,116,21.79,143,20.03,131,Tumor Positive
./tiles_output\NBL-11\tile_21461_27535.jpg,Tumor Cells,NBL-11.svs,35.06,230,18.34,120,26.0,170,20.6,135,Tumor Positive
./tiles_output\NBL-11\tile_21461_37007.jpg,Tumor Cells,NBL-11.svs,38.37,251,18.04,118,19.45,127,24.15,158,Tumor Positive
./tiles_output\NBL-11\tile_21461_39311.jpg,Tumor Cells,NBL-11.svs,42.84,281,15.62,102,25.6,168,15.94,104,Tumor Positive
./tiles_output\NBL-11\tile_21461_39567.jpg,Tumor Cells,NBL-11.svs,48.68,319,16.15,106,19.42,127,15.75,103,Tumor Positive
./tiles_output\NBL-11\tile_21717_24719.jpg,Tumor Cells,NBL-11.svs,31.29,205,22.16,145,23.96,157,22.58,148,Tumor Positive
./tiles_output\NBL-11\tile_21717_25231.jpg,Tumor Cells,NBL-11.svs,35.11,230,19.06,125,24.84,163,20.98,137,Tumor Positive
./tiles_output\NBL-11\tile_21717_25487.jpg,Tumor Cells,NBL-11.svs,33.4,219,17.13,112,27.7,182,21.77,143,Tumor Positive
./tiles_output\NBL-11\tile_21717_25743.jpg,Karyorrhexis,NBL-11.svs,31.38,206,15.59,102,31.75,208,21.28,139,Tumor Positive
./tiles_output\NBL-11\tile_21717_25999.jpg,Tumor Cells,NBL-11.svs,29.07,191,21.69,142,22.79,149,26.44,173,Tumor Positive
./tiles_output\NBL-11\tile_21717_26255.jpg,Tumor Cells,NBL-11.svs,32.39,212,17.71,116,25.05,164,24.85,163,Tumor Positive
./tiles_output\NBL-11\tile_21717_26511.jpg,Tumor Cells,NBL-11.svs,38.5,252,19.85,130,20.16,132,21.49,141,Tumor Positive
./tiles_output\NBL-11\tile_21717_26767.jpg,Tumor Cells,NBL-11.svs,32.92,216,16.22,106,28.27,185,22.6,148,Tumor Positive
./tiles_output\NBL-11\tile_21717_27023.jpg,Tumor Cells,NBL-11.svs,38.29,251,17.62,115,24.7,162,19.39,127,Tumor Positive
./tiles_output\NBL-11\tile_21717_27279.jpg,Tumor Cells,NBL-11.svs,35.98,236,15.47,101,27.22,178,21.33,140,Tumor Positive
./tiles_output\NBL-11\tile_21717_37007.jpg,Tumor Cells,NBL-11.svs,29.92,196,24.92,163,21.67,142,23.49,154,Tumor Positive
./tiles_output\NBL-11\tile_21717_39055.jpg,Tumor Cells,NBL-11.svs,42.86,281,17.28,113,22.4,147,17.46,114,Tumor Positive
./tiles_output\NBL-11\tile_21973_24463.jpg,Karyorrhexis,NBL-11.svs,25.65,168,20.55,135,32.85,215,20.95,137,Tumor Positive
./tiles_output\NBL-11\tile_21973_24975.jpg,Tumor Cells,NBL-11.svs,31.78,208,17.72,116,29.27,192,21.24,139,Tumor Positive
./tiles_output\NBL-11\tile_21973_25231.jpg,Tumor Cells,NBL-11.svs,31.76,208,18.76,123,28.9,189,20.57,135,Tumor Positive
./tiles_output\NBL-11\tile_21973_25487.jpg,Stroma,NBL-11.svs,26.41,173,21.43,140,21.04,138,31.12,204,Tumor Positive
./tiles_output\NBL-11\tile_21973_25743.jpg,Karyorrhexis,NBL-11.svs,26.59,174,17.34,114,28.97,190,27.1,178,Tumor Positive
./tiles_output\NBL-11\tile_21973_25999.jpg,Tumor Cells,NBL-11.svs,31.35,205,15.86,104,28.37,186,24.42,160,Tumor Positive
./tiles_output\NBL-11\tile_21973_26255.jpg,Tumor Cells,NBL-11.svs,29.84,196,20.8,136,24.06,158,25.29,166,Tumor Positive
./tiles_output\NBL-11\tile_21973_26511.jpg,Tumor Cells,NBL-11.svs,37.24,244,15.82,104,24.52,161,22.42,147,Tumor Positive
./tiles_output\NBL-11\tile_21973_26767.jpg,Tumor Cells,NBL-11.svs,36.13,237,20.43,134,19.63,129,23.8,156,Tumor Positive
./tiles_output\NBL-11\tile_21973_37263.jpg,Tumor Cells,NBL-11.svs,33.56,220,19.23,126,22.38,147,24.83,163,Tumor Positive
./tiles_output\NBL-11\tile_21973_37775.jpg,Tumor Cells,NBL-11.svs,41.38,271,19.46,128,21.87,143,17.29,113,Tumor Positive
./tiles_output\NBL-11\tile_22229_23951.jpg,Tumor Cells,NBL-11.svs,31.32,205,22.48,147,27.82,182,18.39,121,Tumor Positive
./tiles_output\NBL-11\tile_22229_24719.jpg,Tumor Cells,NBL-11.svs,30.31,199,23.89,157,25.28,166,20.52,134,Tumor Positive
./tiles_output\NBL-11\tile_22229_24975.jpg,Karyorrhexis,NBL-11.svs,28.08,184,22.0,144,32.02,210,17.9,117,Tumor Positive
./tiles_output\NBL-11\tile_22229_25231.jpg,Karyorrhexis,NBL-11.svs,28.19,185,17.99,118,30.59,200,23.23,152,Tumor Positive
./tiles_output\NBL-11\tile_22229_25487.jpg,Stroma,NBL-11.svs,27.11,178,20.26,133,22.88,150,29.76,195,Tumor Positive
./tiles_output\NBL-11\tile_22229_25743.jpg,Karyorrhexis,NBL-11.svs,28.25,185,18.93,124,33.25,218,19.58,128,Tumor Positive
./tiles_output\NBL-11\tile_22229_25999.jpg,Tumor Cells,NBL-11.svs,30.87,202,18.71,123,24.16,158,26.26,172,Tumor Positive
./tiles_output\NBL-11\tile_22229_26255.jpg,Tumor Cells,NBL-11.svs,32.8,215,15.89,104,26.32,172,24.99,164,Tumor Positive
./tiles_output\NBL-11\tile_22229_37007.jpg,Tumor Cells,NBL-11.svs,31.78,208,13.66,90,29.24,192,25.33,166,Tumor Positive
./tiles_output\NBL-11\tile_22485_23439.jpg,Karyorrhexis,NBL-11.svs,24.33,159,17.16,112,32.15,211,26.36,173,Tumor Positive
./tiles_output\NBL-11\tile_22485_24719.jpg,Tumor Cells,NBL-11.svs,28.65,188,22.97,151,25.41,167,22.97,151,Tumor Positive
./tiles_output\NBL-11\tile_22485_24975.jpg,Tumor Cells,NBL-11.svs,30.15,198,17.75,116,27.72,182,24.37,160,Tumor Positive
./tiles_output\NBL-11\tile_22485_25487.jpg,Stroma,NBL-11.svs,20.71,136,24.94,163,26.99,177,27.35,179,Tumor Positive
./tiles_output\NBL-11\tile_22485_25743.jpg,Stroma,NBL-11.svs,25.72,169,23.14,152,24.98,164,26.16,171,Tumor Positive
./tiles_output\NBL-11\tile_22485_25999.jpg,Karyorrhexis,NBL-11.svs,27.53,180,19.8,130,29.83,195,22.84,150,Tumor Positive
./tiles_output\NBL-11\tile_22485_26255.jpg,Tumor Cells,NBL-11.svs,31.83,209,21.13,138,23.9,157,23.14,152,Tumor Positive
./tiles_output\NBL-11\tile_22485_36751.jpg,Tumor Cells,NBL-11.svs,31.61,207,22.05,145,25.01,164,21.32,140,Tumor Positive
./tiles_output\NBL-11\tile_22485_37007.jpg,Tumor Cells,NBL-11.svs,28.53,187,21.26,139,25.06,164,25.15,165,Tumor Positive
./tiles_output\NBL-11\tile_22741_24207.jpg,Tumor Cells,NBL-11.svs,38.61,253,17.91,117,24.01,157,19.47,128,Tumor Positive
./tiles_output\NBL-11\tile_22741_24719.jpg,Tumor Cells,NBL-11.svs,29.89,196,23.61,155,21.64,142,24.86,163,Tumor Positive
./tiles_output\NBL-11\tile_22741_25231.jpg,Stroma,NBL-11.svs,27.4,180,24.59,161,20.04,131,27.98,183,Tumor Positive
./tiles_output\NBL-11\tile_22741_25487.jpg,Tumor Cells,NBL-11.svs,27.21,178,19.61,129,26.22,172,26.95,177,Tumor Positive
./tiles_output\NBL-11\tile_22741_25743.jpg,Tumor Cells,NBL-11.svs,30.36,199,17.87,117,26.39,173,25.37,166,Tumor Positive
./tiles_output\NBL-11\tile_22741_25999.jpg,Tumor Cells,NBL-11.svs,31.18,204,17.44,114,28.11,184,23.26,152,Tumor Positive
./tiles_output\NBL-11\tile_22741_36751.jpg,Tumor Cells,NBL-11.svs,30.64,201,21.21,139,23.84,156,24.31,159,Tumor Positive
./tiles_output\NBL-11\tile_22997_23695.jpg,Tumor Cells,NBL-11.svs,39.05,256,17.77,116,21.13,138,22.06,145,Tumor Positive
./tiles_output\NBL-11\tile_22997_23951.jpg,Tumor Cells,NBL-11.svs,36.5,239,20.26,133,22.39,147,20.86,137,Tumor Positive
./tiles_output\NBL-11\tile_22997_24207.jpg,Tumor Cells,NBL-11.svs,36.47,239,18.41,121,22.98,151,22.13,145,Tumor Positive
./tiles_output\NBL-11\tile_22997_24719.jpg,Tumor Cells,NBL-11.svs,32.0,210,23.02,151,23.39,153,21.59,141,Tumor Positive
./tiles_output\NBL-11\tile_22997_24975.jpg,Tumor Cells,NBL-11.svs,35.76,234,19.64,129,22.0,144,22.6,148,Tumor Positive
./tiles_output\NBL-11\tile_22997_25231.jpg,Stroma,NBL-11.svs,26.87,176,19.62,129,26.49,174,27.01,177,Tumor Positive
./tiles_output\NBL-11\tile_22997_25487.jpg,Stroma,NBL-11.svs,23.89,157,18.39,121,26.39,173,31.33,205,Tumor Positive
./tiles_output\NBL-11\tile_22997_25743.jpg,Tumor Cells,NBL-11.svs,31.44,206,19.61,129,22.98,151,25.97,170,Tumor Positive
./tiles_output\NBL-11\tile_22997_25999.jpg,Tumor Cells,NBL-11.svs,34.76,228,19.24,126,23.33,153,22.67,149,Tumor Positive
./tiles_output\NBL-11\tile_22997_26255.jpg,Tumor Cells,NBL-11.svs,28.85,189,25.32,166,18.07,118,27.76,182,Tumor Positive
./tiles_output\NBL-11\tile_22997_36495.jpg,Tumor Cells,NBL-11.svs,39.64,260,19.02,125,20.16,132,21.18,139,Tumor Positive
./tiles_output\NBL-11\tile_22997_36751.jpg,Tumor Cells,NBL-11.svs,40.28,264,16.78,110,23.57,154,19.38,127,Tumor Positive
./tiles_output\NBL-11\tile_23253_23439.jpg,Tumor Cells,NBL-11.svs,30.04,197,25.6,168,22.94,150,21.42,140,Tumor Positive
./tiles_output\NBL-11\tile_23253_23951.jpg,Tumor Cells,NBL-11.svs,40.67,267,18.65,122,21.26,139,19.41,127,Tumor Positive
./tiles_output\NBL-11\tile_23253_24207.jpg,Tumor Cells,NBL-11.svs,33.85,222,19.59,128,26.19,172,20.37,133,Tumor Positive
./tiles_output\NBL-11\tile_23253_24463.jpg,Tumor Cells,NBL-11.svs,35.84,235,19.73,129,20.03,131,24.4,160,Tumor Positive
./tiles_output\NBL-11\tile_23253_24719.jpg,Karyorrhexis,NBL-11.svs,30.45,200,20.95,137,30.85,202,17.75,116,Tumor Positive
./tiles_output\NBL-11\tile_23253_25487.jpg,Stroma,NBL-11.svs,25.6,168,23.59,155,24.29,159,26.53,174,Tumor Positive
./tiles_output\NBL-11\tile_23253_35215.jpg,Tumor Cells,NBL-11.svs,29.93,196,19.24,126,21.17,139,29.66,194,Tumor Positive
./tiles_output\NBL-11\tile_23253_36239.jpg,Tumor Cells,NBL-11.svs,36.23,237,18.27,120,21.0,138,24.5,161,Tumor Positive
./tiles_output\NBL-11\tile_23253_36751.jpg,Tumor Cells,NBL-11.svs,28.93,190,25.15,165,18.79,123,27.13,178,Tumor Positive
./tiles_output\NBL-11\tile_23253_37007.jpg,Tumor Cells,NBL-11.svs,33.13,217,19.05,125,20.87,137,26.94,177,Tumor Positive
./tiles_output\NBL-11\tile_23509_21647.jpg,Tumor Cells,NBL-11.svs,33.74,221,13.86,91,30.3,199,22.09,145,Tumor Positive
./tiles_output\NBL-11\tile_23509_23439.jpg,Tumor Cells,NBL-11.svs,28.99,190,18.55,122,25.41,167,27.05,177,Tumor Positive
./tiles_output\NBL-11\tile_23509_23695.jpg,Tumor Cells,NBL-11.svs,29.65,194,19.75,129,25.62,168,24.98,164,Tumor Positive
./tiles_output\NBL-11\tile_23509_23951.jpg,Tumor Cells,NBL-11.svs,27.77,182,18.73,123,26.44,173,27.06,177,Tumor Positive
./tiles_output\NBL-11\tile_23509_24463.jpg,Tumor Cells,NBL-11.svs,36.25,238,18.06,118,23.98,157,21.71,142,Tumor Positive
./tiles_output\NBL-11\tile_23509_24719.jpg,Tumor Cells,NBL-11.svs,33.76,221,18.16,119,27.27,179,20.81,136,Tumor Positive
./tiles_output\NBL-11\tile_23509_25231.jpg,Tumor Cells,NBL-11.svs,29.51,193,24.42,160,25.99,170,20.09,132,Tumor Positive
./tiles_output\NBL-11\tile_23509_35727.jpg,Tumor Cells,NBL-11.svs,38.72,254,14.51,95,22.27,146,24.5,161,Tumor Positive
./tiles_output\NBL-11\tile_23509_36239.jpg,Tumor Cells,NBL-11.svs,33.07,217,17.66,116,27.0,177,22.27,146,Tumor Positive
./tiles_output\NBL-11\tile_23765_23183.jpg,Tumor Cells,NBL-11.svs,37.03,243,19.82,130,28.81,189,14.34,94,Tumor Positive
./tiles_output\NBL-11\tile_23765_23439.jpg,Tumor Cells,NBL-11.svs,34.52,226,18.04,118,22.87,150,24.56,161,Tumor Positive
./tiles_output\NBL-11\tile_23765_23695.jpg,Tumor Cells,NBL-11.svs,33.88,222,16.21,106,26.22,172,23.69,155,Tumor Positive
./tiles_output\NBL-11\tile_23765_23951.jpg,Karyorrhexis,NBL-11.svs,29.5,193,17.35,114,32.19,211,20.95,137,Tumor Positive
./tiles_output\NBL-11\tile_23765_24207.jpg,Tumor Cells,NBL-11.svs,31.52,207,20.32,133,29.71,195,18.45,121,Tumor Positive
./tiles_output\NBL-11\tile_23765_24463.jpg,Tumor Cells,NBL-11.svs,30.45,200,15.55,102,30.18,198,23.82,156,Tumor Positive
./tiles_output\NBL-11\tile_23765_25231.jpg,Tumor Cells,NBL-11.svs,31.19,204,17.96,118,25.45,167,25.41,167,Tumor Positive
./tiles_output\NBL-11\tile_23765_35471.jpg,Tumor Cells,NBL-11.svs,44.05,289,21.15,139,23.24,152,11.56,76,Tumor Positive
./tiles_output\NBL-11\tile_24021_23183.jpg,Tumor Cells,NBL-11.svs,33.48,219,21.65,142,24.87,163,20.0,131,Tumor Positive
./tiles_output\NBL-11\tile_24021_23439.jpg,Tumor Cells,NBL-11.svs,33.44,219,19.17,126,23.94,157,23.45,154,Tumor Positive
./tiles_output\NBL-11\tile_24021_23695.jpg,Tumor Cells,NBL-11.svs,33.51,220,18.29,120,23.19,152,25.01,164,Tumor Positive
./tiles_output\NBL-11\tile_24021_23951.jpg,Karyorrhexis,NBL-11.svs,26.64,175,21.41,140,28.22,185,23.73,156,Tumor Positive
./tiles_output\NBL-11\tile_24021_24207.jpg,Tumor Cells,NBL-11.svs,35.36,232,19.02,125,23.7,155,21.92,144,Tumor Positive
./tiles_output\NBL-11\tile_24021_24463.jpg,Tumor Cells,NBL-11.svs,38.22,250,15.79,103,25.93,170,20.06,131,Tumor Positive
./tiles_output\NBL-11\tile_24021_25231.jpg,Tumor Cells,NBL-11.svs,35.55,233,16.6,109,23.01,151,24.84,163,Tumor Positive
./tiles_output\NBL-11\tile_24021_34191.jpg,Tumor Cells,NBL-11.svs,52.51,344,17.01,111,17.35,114,13.13,86,Tumor Positive
./tiles_output\NBL-11\tile_24021_34447.jpg,Tumor Cells,NBL-11.svs,36.6,240,24.34,160,23.76,156,15.3,100,Tumor Positive
./tiles_output\NBL-11\tile_24277_20367.jpg,Tumor Cells,NBL-11.svs,37.57,246,15.19,100,25.59,168,21.65,142,Tumor Positive
./tiles_output\NBL-11\tile_24277_23439.jpg,Tumor Cells,NBL-11.svs,32.72,214,18.72,123,28.13,184,20.43,134,Tumor Positive
./tiles_output\NBL-11\tile_24277_23695.jpg,Tumor Cells,NBL-11.svs,34.09,223,20.46,134,21.25,139,24.2,159,Tumor Positive
./tiles_output\NBL-11\tile_24277_23951.jpg,Tumor Cells,NBL-11.svs,28.97,190,20.05,131,22.9,150,28.08,184,Tumor Positive
./tiles_output\NBL-11\tile_24277_24207.jpg,Tumor Cells,NBL-11.svs,34.28,225,23.84,156,19.2,126,22.68,149,Tumor Positive
./tiles_output\NBL-11\tile_24277_24463.jpg,Tumor Cells,NBL-11.svs,28.89,189,20.35,133,23.63,155,27.13,178,Tumor Positive
./tiles_output\NBL-11\tile_24277_24975.jpg,Tumor Cells,NBL-11.svs,31.65,207,19.96,131,26.22,172,22.17,145,Tumor Positive
./tiles_output\NBL-11\tile_24277_25231.jpg,Tumor Cells,NBL-11.svs,35.09,230,21.82,143,23.7,155,19.39,127,Tumor Positive
./tiles_output\NBL-11\tile_24277_33167.jpg,Tumor Cells,NBL-11.svs,51.61,338,14.88,98,16.16,106,17.35,114,Tumor Positive
./tiles_output\NBL-11\tile_24277_33423.jpg,Tumor Cells,NBL-11.svs,50.02,328,15.24,100,20.76,136,13.98,92,Tumor Positive
./tiles_output\NBL-11\tile_24277_34191.jpg,Tumor Cells,NBL-11.svs,45.73,300,23.64,155,18.61,122,12.02,79,Tumor Positive
./tiles_output\NBL-11\tile_24277_34447.jpg,Tumor Cells,NBL-11.svs,49.25,323,21.19,139,14.64,96,14.92,98,Tumor Positive
./tiles_output\NBL-11\tile_24277_34703.jpg,Tumor Cells,NBL-11.svs,47.25,310,23.83,156,15.48,101,13.44,88,Tumor Positive
./tiles_output\NBL-11\tile_24533_33167.jpg,Tumor Cells,NBL-11.svs,46.43,304,19.88,130,19.85,130,13.83,91,Tumor Positive
./tiles_output\NBL-11\tile_24533_33423.jpg,Tumor Cells,NBL-11.svs,43.66,286,21.91,144,21.98,144,12.44,82,Tumor Positive
./tiles_output\NBL-11\tile_24533_33935.jpg,Tumor Cells,NBL-11.svs,48.7,319,16.6,109,21.34,140,13.36,88,Tumor Positive
./tiles_output\NBL-11\tile_24533_34191.jpg,Tumor Cells,NBL-11.svs,45.98,301,24.21,159,18.08,118,11.73,77,Tumor Positive
./tiles_output\NBL-11\tile_24533_34447.jpg,Tumor Cells,NBL-11.svs,43.76,287,23.73,156,19.06,125,13.45,88,Tumor Positive
./tiles_output\NBL-11\tile_24533_35727.jpg,Tumor Cells,NBL-11.svs,34.36,225,16.76,110,25.21,165,23.66,155,Tumor Positive
./tiles_output\NBL-11\tile_24533_35983.jpg,Tumor Cells,NBL-11.svs,30.98,203,23.97,157,16.49,108,28.56,187,Tumor Positive
./tiles_output\NBL-11\tile_24789_24207.jpg,Tumor Cells,NBL-11.svs,28.43,186,22.72,149,25.74,169,23.11,151,Tumor Positive
./tiles_output\NBL-11\tile_24789_24719.jpg,Karyorrhexis,NBL-11.svs,26.6,174,23.48,154,27.67,181,22.25,146,Tumor Positive
./tiles_output\NBL-11\tile_24789_33679.jpg,Tumor Cells,NBL-11.svs,44.5,292,21.49,141,20.54,135,13.48,88,Tumor Positive
./tiles_output\NBL-11\tile_24789_33935.jpg,Tumor Cells,NBL-11.svs,41.09,269,21.32,140,21.64,142,15.96,105,Tumor Positive
./tiles_output\NBL-11\tile_24789_34191.jpg,Tumor Cells,NBL-11.svs,38.54,253,25.84,169,17.14,112,18.48,121,Tumor Positive
